department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
SOCIOL,1,Introduction to Sociology,4,"III, VII","Considers major sociological concepts, theories, and research findings illuminating processes of interpersonal interaction, social differentiation and stratification, integration and conflict, and change, with attention to variation in class, race/ethnic, gender, multicultural, and cross-national perspectives and experiences.",,,,,,,,,
SOCIOL,2,Globalization and Transnational Sociology,4,"III, VIII","Examines globalization and international issues from the perspective of sociology and related fields. Issues include economic globalization and global inequality, international environmental problems, international politics, trends in global culture, and global conflict.",,,,,,,,,
SOCIOL,3,Social Problems,4,"III, VII","Focuses on how institutional and organizational features of societies generate problems for people. Particular attention directed at a set of problems related to political and economic inequality: poverty, racism, sexism, urban and population problems, the environment, the criminal justice system.",,,,,,,,,
SOCIOL,10A,Probability and Statistics,4,Va,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,ANTHRO 10A.,"PSYCH 10A, SOCECOL 13, SOC SCI 10A, POL SCI 10A.",,,,,
SOCIOL,10B,Probability and Statistics,4,Va,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",SOCIOL 10A or ANTHRO 10A,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,ANTHRO 10B.,"PSYCH 10B, SOCECOL 13, SOC SCI 10B, POL SCI 10B.",,,,,
SOCIOL,10C,Probability and Statistics,4,Vb,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",SOCIOL 10B or ANTHRO 10B,Anthropology Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,ANTHRO 10C.,"PSYCH 10C, SOCECOL 13, SOC SCI 10C, POL SCI 10C.",,,,,
SOCIOL,19,Special Topics: Methods,4,,Studies in selected areas of methods. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,29,Special Topics: Theory,4,,Studies in selected areas of theory. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,May be repeated for credit unlimited times.,,
SOCIOL,31,Self-Identity and Society,4,III,"Studies sociological contributions to theory and research in social psychology, with focus on the social influences on personality, attitudes, beliefs, and behavior; socialization, human groups, and social interaction.",,,PSYCH 78A.,,,,,,
SOCIOL,39,Special Topics: Social Psychology,4,,Studies in selected areas of social psychology. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,41,Small Group Dynamics,4,,"Deals with models for understanding behavior in small groups, including coalition formation, socialization, group norms and decision rules, leadership, conformity, group structure, and communication processes.",,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,43,City and Community,4,,"Examines nature, causes, and consequences of urbanization along with changing scale and complexity, demographic/ecological city growth patterns, quality of life in urban areas, processes of decision-making, and bearing of sociological investigation on public policy concerns in contemporary urban society.",,,,UPPP 40.,,,,,
SOCIOL,44,"Births, Deaths, and Migration",4,VIII,"Introduction to the analysis of human population including fertility, mortality dispersion, sex distribution. Attention is focused on the effects of these variables on, e.g., over-population, social disorganization, and the stability of social institutions.",,,,,,,,,
SOCIOL,49,Special Topics: Structures,4,,Studies in selected areas of structures. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,51,Asian American Family & Community,4,VII,"Briefly examines the history of different Asian American groups and provides an in-depth analysis of issues related to family composition, mate selection, changing gender roles, and intergenerational conflict.",,,,,,,,,
SOCIOL,56,Religion and Society,4,,A critical and personal examination of the varieties of religious and spiritual experiences human beings are undergoing in contemporary society. The role of conscious understanding and unconscious conditioning regarding religion and spirituality.,,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,59,Special Topics: Social Institutions and Culture,4,,Studies in selected areas of social institutions and culture. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,62,Families and Intimate Relations,4,III,"Sociological theories/research on marriage, kinship, intimacy, and divorce. Emphasis on comparing family patterns in different social classes, ethnic groups, and societies, and on relating family life to the economy and other social institutions. Topics include gender roles, child-rearing, historical change.  Materials fee.",,,,,,,,,
SOCIOL,63,Race and Ethnicity,4,VII,"Focuses on racial and ethnic relations in the United States and compares them with those found in other societies. Analyzes the conditions that favor either cooperation and integration or rivalry, tension, and conflict. Appraises strategies for reducing and resolving conflicts.",,,SPPS 70A.,,,,,,
SOCIOL,64,Sociology of Sexuality,4,VII,"Provides an introduction to and overview of the sociology of sex and sexuality. Considers the social meanings of sex and sexuality, the social contexts of sex and sexuality, and the social regulations of sex and sexuality.",,,,,,,,,
SOCIOL,68,Gender and Race Inequality in the Workplace,4,,"Analysis of current state and trends in major inequality measures including the wage gap, occupational segregation, and access to managerial positions. Theories that purport to explain such differences, and the related empirical evidence, are also covered.",,,,,,,,,
SOCIOL,68A,Ethnic and Immigrant America,4,VII,"Focusing on Asian, Latino, and Black immigrant groups, examines the second generation's experience of straddling two cultures and growing up American. Covers topics such as assimilation, bilingualism, race relations, education, bicultural conflicts, interracial marriage, and multiracial identities.",,,CHC/LAT 65.,,,,,,
SOCIOL,69,"Special Topics: Age, Gender, Race, and Ethnicity",4,,"Studies in selected areas of age, gender, race, and ethnicity. Topics addressed vary each quarter.",Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,79,Special Topics: Societies and Social Inequality,4,,Studies in selected areas of societies and social inequality. Topics addressed vary each quarter.,Prerequisites vary.,,,,,,Unlimited as topics vary.,,
SOCIOL,110,Research Methods,4,,"Methods of data collection and analysis used by sociologists. Experimental methods, surveys, and interviews, field research and participant observation, demographic methods, historical and comparative approaches.",,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,119,Special Topics: Methods,4,,Studies in selected areas of methods. Topics addressed vary each quarter.,Prerequisites vary.,Sociology Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
SOCIOL,120,Sociological Theory,4,,"What a theory of society is and is not. Historical and contemporary models, perspectives, and schools.",,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,120W,Sociological Theory,4,Ib,"What a theory of society is and is not. Historical and contemporary models, perspectives, and schools.",Satisfactory completion of the Lower-Division Writing requirement.,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,129,Special Topics: Theory,4,,Studies in selected areas of theory. Topics addressed vary each quarter.,Prerequisites vary.,Sociology Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
SOCIOL,134,Game Theory and Politics I,4,,"Introduction to game theory and a survey of its political applications. Examples of topics covered include voting in small committees, legislatures, and mass elections; interest group activities and environmental issues; institutional design, and the evolution of cooperative behavior.",,Social Policy/Public Service Majors have first consideration for enrollment. Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment. Sociology Majors have first consideration for enrollment.,"POL SCI 130A, SOC SCI 103A.",,,,,,
SOCIOL,135,Social Psychology of Networks,4,,"Review of network methods used in small group and organizational research. Discussion of social psychological literature relevant to the network of study of cognitive social structure, exchange/communication, identity negotiation, and social control. Case study of network datasets exemplifies research issues.",,Sociology Majors have first consideration for enrollment. Psychology Majors have first consideration for enrollment.,PSYCH 178N.,,,,,,
SOCIOL,136,Religious Traditions of Asian Americans,4,,"Studies the religious traditions of Asian Americans, focusing on the transplantation of religious institutions, establishment of sacred spaces, celebration of religious holidays, socialization of children, as well as birth, marriage, gender relations, death, family.",,,ASIANAM 143.,,,,,,
SOCIOL,138,Business Decisions,4,,"Surveys normative and descriptive models of decision-making behavior, with an emphasis on organizational and policy contexts. Topics include rational choice theory, biases and heuristics, framing effects, and overconfidence. Management fads, panics, and herd behavior are also discussed.",(ANTHRO 10A and ANTHRO 10B and ANTHRO 10C) or (SOCIOL 10A and SOCIOL 10B and SOCIOL 10C) or (SOC SCI 10A and SOC SCI 10B and SOC SCI 10C) or (MATH 2A and MATH 2B and (STATS 7 or MGMT 7)) or (STATS 120A and STATS 120B and STATS 120C) or (ECON 15A and ECON 15B),Sociology Majors have first consideration for enrollment.,ECON 148.,,,,,,
SOCIOL,139,Special Topics: Social Psychology,4,,Studies in selected areas of social psychology. Topics addressed vary each quarter.,Prerequisites vary.,Sociology Majors have first consideration for enrollment.,,,,,Unlimited as topics vary.,,
SOCIOL,141,Organizations,4,,"How bureaucracies, formal organizations, and voluntary associations work, how/why they grow, and where they are going. History and structure of organizational rationality; dynamics of organized groups; behavior in organizations; limits of bureaucratization and attempts to overcome these limits through decentralization.",,Sociology Majors have first consideration for enrollment. Political Science Majors have first consideration for enrollment.,POL SCI 155C.,,,,,,
SOCIOL,142,White-Collar Crime,4,,"Examines criminal activity in business and corporate enterprise, organizations, and the professions. Theories regarding the causes and control of white-collar and corporate crime are covered as well as the numerous definitions of these terms.",,"Sociology Majors have first consideration for enrollment. Criminology, Law and Society Majors have first consideration for enrollment. Social Ecology Majors have first consideration for enrollment.",CRM/LAW C142.,,,,,,
SOCIOL,143,Social Networks and Social Support,4,,"Examines the manner in which behaviors/attitudes of individuals are affected by their network ties to others. How are peoples' opportunities and well-being increased/decreased by their social networks? May include studies in mental/physical health, job seeking, separation and loss, and aging.",,Sociology Majors have first consideration for enrollment.,,,,,,,
SOCIOL,144,"Politics, Power, and Society",4,,"Includes an examination of the major theoretical approaches to political sociology, and the application of these ideas to the politics of advanced capitalist societies. Also considers stability and change in power structures.",,Sociology Majors have first consideration for enrollment.,,,,,,,
