department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
SPANISH,1A,Fundamentals of Spanish,5,,"Communicative approach with emphasis on conversational skills: the students and their environment, their experiences, and their opinions about issues. Reading and writing skills also introduced.",Placement into SPANISH 1A.,SPANISH 1A and SPANISH 1AB and SPANISH S1AB may not be taken for full credit.,,"SPANISH 1AB, SPANISH S1AB.",,,,,
SPANISH,1AB,Fundamentals Intensive Spanish,10,,"An intensive, proficiency-oriented, and task-based approach, designed to develop basic oral communicative abilities in Spanish.  Reading and writing skills, along with an an introduction to Hispanic cultures.",Placement into SPANISH 1A.,SPANISH 1AB and SPANISH 1A and SPANISH 1B and SPANISH S1AB may not be taken for full credit.,,"SPANISH 1A, SPANISH 1B, SPANISH S1AB.",,,,,
SPANISH,1B,Fundamentals of Spanish,5,,"Communicative approach with emphasis on conversational skills: the students and their environment, their experiences, and their opinions about issues.  Reading and writing skills also introduced.",SPANISH 1A. SPANISH 1A with a grade of C or better. Placement into SPANISH 1B is also accepted.,SPANISH 1B and SPANISH 1AB and SPANISH S1AB may not be taken for full credit.,,"SPANISH 1AB, SPANISH S1AB.",,,,,
SPANISH,1C,Fundamentals of Spanish,5,VI,"Communicative approach with emphasis on conversational skills: the students and their environment, their experiences, and their opinions about issues.  Reading and writing skills also introduced.",SPANISH 1AB or SPANISH 1B or SPANISH S1AB. SPANISH 1AB with a grade of C or better. SPANISH 1B with a grade of C or better. SPANISH S1AB with a grade of B or better. Placement into SPANISH 1C is also accepted.,SPANISH 1C and SPANISH S1BC may not be taken for full credit.,,SPANISH S1BC.,,,,,
SPANISH,S1AB,Fundamentals of Spanish,7.5,,First half of first-year Spanish in an intensified form. Communicative approach with emphasis on conversational skills.,Placement into SPANISH 1A.,SPANISH S1AB and SPANISH 1A and SPANISH 1B and SPANISH 1AB may not be taken for full credit.,,"SPANISH 1A, SPANISH 1B, SPANISH 1AB.",,,,,
SPANISH,S1BC,Fundamentals of Spanish,7.5,VI,Second half of first-year Spanish in an intensified form. Communicative approach with emphasis on conversational skills.,SPANISH S1AB or SPANISH 1A or SPANISH 1B. SPANISH S1AB with a grade of C or better. SPANISH 1A with a grade of C or better. SPANISH 1B with a grade of C or better. Placement into SPANISH 1B or SPANISH 1C is also accepted.,SPANISH S1BC and SPANISH 1B and SPANISH 1C and SPANISH 1AB may not be taken for full credit.,,"SPANISH 1B, SPANISH 1C, SPANISH 1AB.",,,,,
SPANISH,2A,Intermediate Spanish,4,VIII,"Conversation, reading, and composition skills are developed using texts of literary and social interest. Emphasis on grammar review.",SPANISH 1C or SPANISH S1BC. SPANISH 1C with a grade of C or better. SPANISH S1BC with a grade of C or better. Placement into SPANISH 2A is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,"SPANISH 2AB, SPANISH S2AB.",,,,,
SPANISH,2AB,Intermediate Intensive Spanish,8,VIII,"Intensive intermediate course designed to improve student's abilities in reading, writing, speaking, and comprehension, including a thorough introduction to Hispanic cultures. Grammatical component of the language is gradually reviewed and tested.",SPANISH 1C or SPANISH S1BC. SPANISH 1C with a grade of C or better. SPANISH S1BC with a grade of C or better. Placement into SPANISH 2A is also accepted.,,,"SPANISH 2A, SPANISH 2B, SPANISH S2AB.",,,,,
SPANISH,2B,Intermediate Spanish,4,VIII,"Conversation, reading, and composition skills are developed using texts of literary and social interest. Emphasis on grammar review.",SPANISH 2A. SPANISH 2A with a grade of C or better. Placement into SPANISH 2B is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,"SPANISH 2AB, SPANISH S2AB.",,,,,
SPANISH,2C,Intermediate Spanish,4,VIII,"Conversation, reading, and composition skills are developed using texts of literary and social interest. Emphasis on grammar review.",SPANISH 2AB or SPANISH 2B or SPANISH S2AB. SPANISH 2AB with a grade of C or better. SPANISH 2B with a grade of C or better. SPANISH S2AB with a grade of B or better. Placement into SPANISH 2C is also accepted.,School of Humanities students have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,,SPANISH S2BC.,,,,,
SPANISH,S2AB,Intermediate Spanish,6,VIII,"First half of second-year Spanish in an intensified form. Conversation, reading, and composition skills are developed using texts of literary and social interest. Emphasis on grammar review.",SPANISH 1C or SPANISH S1BC. SPANISH 1C with a grade of C or better. SPANISH S1BC with a grade of C or better. Placement into SPANISH 2A is also accepted.,,,"SPANISH 2A, SPANISH 2B, SPANISH 2AB.",,,,,
SPANISH,S2BC,Intermediate Spanish,6,VIII,"Second half of second-year Spanish in an intensified form. Conversation, reading, and composition skills are developed using texts of literary and social interest. Emphasis on grammar review.",SPANISH 2B or SPANISH S2AB or SPANISH 2A. SPANISH 2B with a grade of C or better. SPANISH S2AB with a grade of C or better. SPANISH 2A with a grade of B or better. Placement into SPANISH 2B or SPANISH 2C is also accepted.,SPANISH S2BC and SPANISH 2B and SPANISH 2C and SPANISH 2AB and SPANISH 2 may not be taken for full credit.,,"SPANISH 2B, SPANISH 2C, SPANISH 2AB, SPANISH 2.",,,,,
SPANISH,3,US Latino Communities,4,VIII,"Focuses on intermediate to advanced grammar and composition. Emphasis is placed on key elements of grammar, which constitutes about 70 percent of the curriculum, and composition writing, which constitutes the remaining 30 percent.",SPANISH 2C or SPANISH S2BC. SPANISH 2C with a grade of C or better. SPANISH S2BC with a grade of C or better. Placement into SPANISH 3 is also accepted.,,,SPANISH 3H.,,,,,
SPANISH,3H,Heritage Spanish: Latinidad,4,VII,"Designed for students who grew up speaking Spanish in their homes/communities, whose schooling has been primarily in English, and need additional practice writing in Spanish.",Placement into SPANISH 3H.,,,SPANISH 3.,,,,,
SPANISH,44,Hispanic Literatures for Nonmajors,4,VIII,Focuses on major Spanish and Latin American literary texts within a historical and theoretical perspective. Taught in English with literary texts read in the original language.,SPANISH 2 or SPANISH 2C or SPANISH S2BC,No Spanish Majors.,,,,,,,
SPANISH,50,"Latin America, U.S",4,IV and VIII,"Introduction (for non-majors) to the culture of the Spanish- and Portuguese-speaking worlds (Europe, Latin America, U.S., Africa).  May focus on any time period.  Taught in english.",,,,,,,May be taken for credit 3 times as topics vary.,,
SPANISH,60E,Mexico and Central America: A Survey,4,IV and VIII,"Panoramic view of Mexico and Central America examining key texts throughout history. Shows the richness of the culture, and an appraisal of various forms of representation, including images, chronicles, novels, essays, poems, and  a film. Taught in English.",,,,SPANISH 60S.,,,,,
SPANISH,60S,Mexico and Central America: A Survey,4,IV and VIII,"Panoramic view of Mexico and Central America examining key texts throughout history. Shows the richness of the culture, and an appraisal of various forms of representation, including images, chronicles, novels, essays, poems, and a film. Taught in Spanish.",Placement into SPANISH 2A or higher via Spanish Placement Test B is required.,,,SPANISH 60E.,,,,,
SPANISH,61,The Culture of the Visual Image in Latin America,4,IV and VIII,"A survey of visual forms of expression which have endured through more than five centuries of pre-colonial, colonial, and independent Latin America. Forms to be treated in the class include painting, monuments, sculpture, urban planning, graffiti, comics, and photography.",,,,,,,,,
