department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
UNI STU,1,Freshman Experience,2,,An introduction to the freshman experience provides an overview of the University's aims and resources and exploration of developmental theories and skills necessary for academic success. Attention is also paid to questions of personal development and major choice.  Materials fee.,,,,,,Pass/no pass only.,,,
UNI STU,3,Mini-Seminars,1,,"Designed primarily for freshmen as introduction to scholarly inquiry. Each section is taught by a faculty member from one of the academic disciplines and presents interesting and challenging topics representing the instructor's interest. Students participate in discussions, presentations, and projects.",,,,,,,May be taken for credit 3 times as topics vary.,,
UNI STU,4,Transfer Student Seminars,1,,"Designed primarily for transfer students during their first year at UCI. Each section is taught by a faculty member from one of the academic disciplines as introduction to scholarly inquiry in their discipline. Students participate in discussions, presentations, and projects.",,New students only. Upper-division only until first week of classes.,,,,,May be taken for credit 2 times.,,
UNI STU,6,University Studies International Village Seminar,1,,Seminars held in International Village that are specifically designed to either (a) introduce visiting international students to the U.S. and/or local area and institutions or (b) engage both international and U.S. students in discussion of topics of international interest.,,,,,,Pass/no pass only.,Unlimited as topics vary.,,
UNI STU,7,UTeach: Student-Taught Seminar,1,,Student-taught seminar courses on selected topics. Topics vary each year according to the interest of the students teaching the classes.,,,,,,Pass/no pass only.,May be taken for credit 2 times.,,
UNI STU,10,Introduction to Civic and Community Engagement and Community Research,4,,"Provides a foundation for understanding the role of public scholarship, civic engagement, and social action, and the relationship between service learning and engaged citizenship. Introduces key theoretical and research methodologies on the traditions and innovations of civic and community engagement.",,,,,,,,,
UNI STU,13A,Introduction to Global Sustainability I,4,II,"Introduces Earth as a system and living planet. Examines physical and biological resources as well as energy, water, climate, and ecosystems. Introduces and applies analytic lens of environmental, social, and economic sustainability to examine human impacts and resource use.",,Lower-division students only.,,,,,,,
UNI STU,13B,Introduction to Global Sustainability II,4,II,"Introduces Earth as a system and living planet. Examines physical and biological resources as well as energy, water, climate, and ecosystems. Introduces and applies analytic lens of environmental, social, and economic sustainability to examine human impacts and resource use.",UNI STU 13A,,,,,,,,
UNI STU,13C,Introduction to Global Sustainability III,4,III,"Introduces Earth as a system and living planet. Examines physical and biological resources as well as energy, water, climate, and ecosystems. Introduces and applies analytic lens of environmental, social, and economic sustainability to examine human impacts and resource use.",UNI STU 13B,,,,,,,,
UNI STU,43,Topics in Illuminations,1,,"This course connects students to Illuminations, the Chancellor's Arts and Culture Initiative. Students will attend five Illuminations-sponsored events and engage in brief preparatory and reflective activities in response to these events.",,,,,,Pass/no pass only.,May be taken for credit 3 times as topics vary.,,
