department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
VIS STD,290A,Art History:Theories and Methods,4,,Examines canonical texts and explores current directions in Art History.,,,,,,,,,
VIS STD,290B,Film & Media Studies: Theories and Methods,4,,Examines canonical texts and explores current directions in Film and Media Studies.,,,,,,,,,
VIS STD,290C,Visual Studies: Theories and Methods,4,,Examines canonical texts and explores current directions in Visual Studies.,,,,,,,,,
VIS STD,294,Getty Consortium Seminar,4,,"Special graduate seminar offered at the Getty Research Institute in Los Angeles, involving faculty and graduate students from the five graduate programs in Art History or Visual Studies located in southern California (UCI, UCLA, UCR, UCSB, and USC).",,,,,,,Unlimited as topics vary.,,
VIS STD,295,Graduate Seminar in Visual Studies,4,,Studies in selected areas of Visual Studies. Topics addressed vary each quarter.,,,,,,,Unlimited as topics vary.,,
VIS STD,296,Directed Reading,4,,Directed reading on a specific topic agreed upon by student and instructor.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
VIS STD,297,Writing Practicum,4,,Offered winter quarter each year and taught in a workshop format. Assists students with the preparation and revision of the dissertation prospectus so that they may advance to candidacy.,VIS STD 290A and VIS STD 290B and VIS STD 290C,Graduate students only.,,,,Satisfactory/unsatisfactory only.,,,
VIS STD,298A,Reading for the Preliminary Examination,4-12,,Directed reading in preparation for the preliminary examination. Formerly Visual Studies 298.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
VIS STD,298B,Prospectus Research,4-12,,Research and writing of the dissertation prospectus.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
VIS STD,299,Dissertation Research,4-12,,Research and writing of the dissertation.,,Graduate students only.,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
