dept,num
AC ENG,20C
ANATOMY,200
ANTHRO,299
ART,199
BIO SCI,199
BIO SCI,198
BME,199
BME,296
BME,299
CBEMS,199
CBEMS,155
CHEM,180
CHEM,199
ENGRCEE,199
ENGRCEE,296
ENGRCEE,150
ENGRCEE,299
CSE,41
CSE,161
COMPSCI,297P
COMPSCI,296P
COMPSCI,199
COMPSCI,161
COMPSCI,298P
COMPSCI,299P
COMPSCI,298
COMPSCI,253P
COMPSCI,299
COMPSCI,267P
DRAMA,199
EARTHSS,199
ECON,199
EECS,299
EECS,199
ENGR,100
ENGR,150
ENGR,199
ENGR,295
ENGR,54
ENGR,195
EPIDEM,199
FLM&MDA,197
FIN,296
IN4MATX,288
IN4MATX,191B
IN4MATX,H198
IN4MATX,199
IN4MATX,299
IN4MATX,43
IN4MATX,286
I&C SCI,33
I&C SCI,192
I&C SCI,31
I&C SCI,10
MGMTMBA,290
MGMTPHD,299
MATH,199A
ENGRMAE,156
ENGRMAE,150
ENGRMAE,199
ENGRMAE,151
ENGRMAE,170
ENGRMAE,91
ENGRMAE,189
ENGRMAE,115
ENGRMAE,150L
ENGRMAE,52
MOL BIO,200R
MUSIC,191
NUR SCI,299
NUR SCI,262
PHRMSCI,199
PHYSICS,3LB
PHYSICS,195
PHYSICS,295
PHYSICS,3LC
PUBHLTH,195W
SOCECOL,195
UCDC,180
UCDC,170
WRITING,39B
WRITING,39A
WRITING,197
WRITING,139W
WRITING,39C
WRITING,31
