dept,num
AC ENG,29
AFAM,151
AFAM,40A
ANTHRO,2D
ANTHRO,41A
ANTHRO,10A
ANTHRO,136K
ANTHRO,2A
ART,12A
ART,30A
ART,71A
ART,101W
ART,20A
ART,81A
ART,100
ASIANAM,53
ASIANAM,54
ASIANAM,132
BIO SCI,E179
BIO SCI,D136
BIO SCI,D104
BIO SCI,9B
BIO SCI,D103
BIO SCI,198
BIO SCI,E179L
BIO SCI,36
BIO SCI,M122
BIO SCI,98
BIO SCI,M116L
BIO SCI,97
BIO SCI,94
BIO SCI,38
BIO SCI,E112L
BIO SCI,194S
BIO SCI,N110
BIO SCI,N158
BIO SCI,93
BIO SCI,199
BIO SCI,E109
BIO SCI,M118L
BIO SCI,E136
BME,1
BME,50A
BME,199
BME,295
BME,299
CHEM,199
CHEM,51A
CHEM,180
CHEM,1A
CHEM,299
CHEM,1LC
CHEM,1LD
CHEM,51LD
CHEM,1C
CHEM,1LA
CHEM,51LB
CHEM,51B
CHC/LAT,199
CHC/LAT,183
CHC/LAT,64
CHC/LAT,147
CHC/LAT,154
ENGRCEE,20
ENGRCEE,30
ENGRCEE,299
CLASSIC,45A
COM LIT,199
COM LIT,60A
CSE,70A
CSE,31
CSE,46
COMPSCI,133
COMPSCI,199
COMPSCI,298P
COMPSCI,151
COMPSCI,141
COMPSCI,299
COMPSCI,171
CRM/LAW,C127
CRM/LAW,C100
CRM/LAW,C107
CRM/LAW,C142
CRM/LAW,C7
DANCE,197
DRAMA,130
DRAMA,15
EARTHSS,299
EARTHSS,1
EARTHSS,199
ECON,20A
ECON,25
ECON,134A
ECON,199
ECON,15B
ECON,100C
ECON,15A
ECON,122A
ECON,122B
ECON,299
ECON,132A
ECON,13
ECON,20B
ECON,100A
EDUC,124
EDUC,248
EDUC,230
EDUC,241
EDUC,361
EDUC,30
EDUC,198
EDUC,374
EDUC,199
EDUC,206
EDUC,160
EDUC,245
EDUC,243
EECS,31
EECS,10
EECS,70LA
EECS,295
EECS,55
EECS,299
EECS,12
EECS,70A
ENGR,199
ENGR,30
ENGR,295
ENGR,190W
ENGR,195
ENGLISH,17
ENGLISH,10
ENGLISH,102A
EURO ST,S10
EURO ST,12
FLM&MDA,85A
FLM&MDA,101A
FLM&MDA,85C
FRENCH,S1AB
FRENCH,S2AB
GEN&SEX,50C
HISTORY,21A
HISTORY,70A
HISTORY,40A
HISTORY,60
HISTORY,40C
HISTORY,183
HUMAN,55
IN4MATX,131
IN4MATX,299
IN4MATX,101
I&C SCI,192
I&C SCI,139W
I&C SCI,46
INTL ST,155BW
INTL ST,130
INTL ST,14
INTL ST,11
INTL ST,183A
INTL ST,179
INTL ST,144A
INTL ST,13
JAPANSE,S1AB
KOREAN,S1AB
LINGUIS,68
LINGUIS,3
LPS,60
LPS,29
MGMT,105
MGMT,109
MGMT,124
MGMT,132A
MGMT,107
MGMT,30A
MGMT,7
MGMT,194
MGMT,199
MGMT,131A
MGMT,102
MPAC,200A
MPAC,200D
MATH,13
MATH,3D
MATH,9
MATH,173A
MATH,1B
MATH,105A
MATH,105LA
MATH,2A
MATH,2D
MATH,175
MATH,1A
MATH,120A
MATH,4
MATH,130A
MATH,3A
MATH,2B
MATH,140A
ENGRMAE,199
ENGRMAE,30
ENGRMAE,299
ENGRMAE,130A
ENGRMAE,147
MOL BIO,200R
MUSIC,78
MUSIC,3
MUSIC,4
NUR SCI,199
PHRMSCI,90
PHRMSCI,199
PHRMSCI,120
PHILOS,2
PHILOS,1
PHILOS,4
PHILOS,5
PHILOS,13
PHILOS,29
PHYSICS,199
PHYSICS,7LD
PHYSICS,7D
PHYSICS,7C
PHYSICS,295
PHYSICS,3A
PHYSICS,7LC
PHYSICS,3B
PHYSICS,20A
PP&D,299
PP&D,4
PP&D,170
PP&D,172
POL SCI,71A
POL SCI,41A
POL SCI,124C
POL SCI,21A
POL SCI,154C
POL SCI,61A
POL SCI,159
PSYCH,9B
PSYCH,112LM
PSYCH,7A
PSYCH,112M
PSYCH,9C
PSYCH,177D
PSYCH,140C
PSYCH,9A
PSYCH,129
PUBHLTH,1
PUBHLTH,10
PUBHLTH,101
PUBHLTH,90
PUBHLTH,189
PUBHLTH,144
PUBHLTH,122
PUBHLTH,199
PUBHLTH,30
PUBHLTH,159
SOCECOL,13
SOCECOL,183A
SOCECOL,E8
SOCECOL,199
SOCECOL,10
SOC SCI,164D
SOC SCI,1A
SOC SCI,10B
SOC SCI,197
SOC SCI,120
SOC SCI,78C
SOC SCI,189
SOC SCI,3A
SOC SCI,172AW
SOC SCI,183A
SOC SCI,184GW
SOC SCI,194A
SOC SCI,89
SOC SCI,199
SOCIOL,10A
SOCIOL,180AW
SOCIOL,142
SOCIOL,154
SOCIOL,156
SOCIOL,62
SOCIOL,159
SOCIOL,1
SOCIOL,173
SOCIOL,2
SOCIOL,299
SPANISH,S1AB
SPANISH,S2AB
STATS,299
STATS,67
STATS,7
STATS,8
WRITING,30
