dept,num
AC ENG,29
AC ENG,20A
AC ENG,23A
AC ENG,20B
AC ENG,22A
AC ENG,20C
AC ENG,139W
AC ENG,23B
AFAM,154
AFAM,137
AFAM,40C
AFAM,50
AFAM,198
AFAM,199
AFAM,145
AFAM,399
ANATOMY,230A
ANATOMY,215
ANATOMY,230
ANATOMY,500B
ANATOMY,201
ANATOMY,206C
ANATOMY,227C
ANATOMY,693A
ANATOMY,600B
ANATOMY,200R
ANATOMY,200
ANATOMY,502A
ANATOMY,202B
ANATOMY,600L
ANATOMY,699A
ANATOMY,203B
ANTHRO,136D
ANTHRO,10C
ANTHRO,198
ANTHRO,199
ANTHRO,100B
ANTHRO,2A
ANTHRO,2C
ANTHRO,197
ANTHRO,134N
ANTHRO,190
ANTHRO,121D
ANTHRO,149
ANTHRO,202C
ANTHRO,41A
ANTHRO,128B
ANTHRO,164P
ANTHRO,299
ANTHRO,H190A
ANTHRO,100A
ANTHRO,129
ANTHRO,H191W
ANTHRO,215C
ANTHRO,289
ANTHRO,2B
ANTHRO,139
ANTHRO,246
ANTHRO,132A
ANTHRO,121AW
ANTHRO,180AW
ANTHRO,45A
ANTHRO,128C
ANTHRO,290
ANTHRO,169
ARABIC,10A
ARABIC,1C
ARABIC,10B
ARABIC,199
ARMN,2C
ARMN,1C
ART,154
ART,20A
ART,153
ART,198
ART,81B
ART,199
ART,197
ART,151
ART,230
ART,30A
ART,190
ART,101W
ART,71B
ART,9C
ART,132B
ART,11A
ART,71A
ART,40
ART,251
ART,399
ART,65C
ART,240
ART,262
ART,261
ART,65A
ART,8
ART,126B
ART,190B
ART,215
ART,91
ART,108
ART,100
ART,1C
ART,150
ART HIS,199
ART HIS,164E
ART HIS,165B
ART HIS,134D
ART HIS,198
ART HIS,399
ART HIS,190W
ART HIS,55
ART HIS,145C
ART HIS,298
ART HIS,125
ART HIS,299
ART HIS,40C
ART HIS,42C
ARTS,75
ARTS,199
ARTS,1
ASIANAM,399
ASIANAM,53
ASIANAM,55
ASIANAM,200C
ASIANAM,290
ASIANAM,114
ASIANAM,150
ASIANAM,164
ASIANAM,151D
ASIANAM,199
ASIANAM,291
BIOCHEM,291
BIOCHEM,207
BIOCHEM,200C
BIOCHEM,202C
BIOCHEM,200R
BIOCHEM,292C
BIOCHEM,210A
BIOCHEM,699B
BIOCHEM,523
BIO SCI,N115B
BIO SCI,N131
BIO SCI,N154
BIO SCI,E112L
BIO SCI,3B
BIO SCI,N120C
BIO SCI,101
BIO SCI,M114L
BIO SCI,N165
BIO SCI,D105
BIO SCI,E168
BIO SCI,M121L
BIO SCI,N170
BIO SCI,M118L
BIO SCI,192
BIO SCI,N138
BIO SCI,M116L
BIO SCI,9K
BIO SCI,M122
BIO SCI,38
BIO SCI,108
BIO SCI,194S
BIO SCI,100
BIO SCI,E190
