dept,num
AC ENG,29
AC ENG,20A
AC ENG,23A
AC ENG,20B
AC ENG,22A
AC ENG,20C
AC ENG,139W
AC ENG,23B
AFAM,162W
AFAM,112B
AFAM,152
AFAM,399
AFAM,143
AFAM,154
AFAM,125
AFAM,128
AFAM,157
AFAM,163
AFAM,198
AFAM,199
AFAM,111A
AFAM,138
AFAM,40B
ANATOMY,215
ANATOMY,230
ANATOMY,210B
ANATOMY,206B
ANATOMY,500B
ANATOMY,201
ANATOMY,693A
ANATOMY,600B
ANATOMY,200R
ANATOMY,200
ANATOMY,502A
ANATOMY,227B
ANATOMY,202B
ANATOMY,600L
ANATOMY,203A
ANATOMY,230A
ANATOMY,699A
ANTHRO,20A
ANTHRO,259A
ANTHRO,125X
ANTHRO,198
ANTHRO,2D
ANTHRO,10B
ANTHRO,199
ANTHRO,2A
ANTHRO,197
ANTHRO,141A
ANTHRO,30A
ANTHRO,204A
ANTHRO,235A
ANTHRO,290
ANTHRO,41A
ANTHRO,252A
ANTHRO,215B
ANTHRO,299
ANTHRO,136K
ANTHRO,129
ANTHRO,253A
ANTHRO,289
ANTHRO,2B
ANTHRO,139
ANTHRO,180AW
ANTHRO,134A
ANTHRO,152A
ANTHRO,202B
ANTHRO,169
ANTHRO,240A
ANTHRO,H190C
ARABIC,1B
ARABIC,10A
ARABIC,10B
ARABIC,199
ARMN,2B
ARMN,1B
ART,20A
ART,81B
ART,199
ART,236
ART,12B
ART,197
ART,151
ART,230
ART,220
ART,30A
ART,190
ART,101W
ART,71B
ART,81A
ART,1B
ART,106A
ART,121A
ART,125
ART,150
ART,109
ART,71A
ART,40
ART,399
ART,150F
ART,9B
ART,240
ART,262
ART,65A
ART,30B
ART,215
ART,263
ART,108
ART,144
ART,20B
ART,152A
ART,100
ART,51
ART,141
ART HIS,42A
ART HIS,42B
ART HIS,199
ART HIS,399
ART HIS,198
ART HIS,164A
ART HIS,190W
ART HIS,134C
ART HIS,44
ART HIS,155B
ART HIS,298
ART HIS,100
ART HIS,299
ART HIS,145A
ART HIS,164D
ARTS,199
ASIANAM,250
ASIANAM,399
ASIANAM,52
ASIANAM,110
ASIANAM,200B
ASIANAM,290
ASIANAM,100W
ASIANAM,201
ASIANAM,199
ASIANAM,291
BIOCHEM,292B
BIOCHEM,291
BIOCHEM,200R
BIOCHEM,699B
BIOCHEM,202B
BIOCHEM,200B
BIO SCI,3A
BIO SCI,E160L
BIO SCI,E117B
BIO SCI,9B
BIO SCI,E112L
BIO SCI,3B
BIO SCI,56
BIO SCI,101
BIO SCI,M114L
BIO SCI,N170
BIO SCI,M118L
BIO SCI,192
BIO SCI,92
BIO SCI,47
BIO SCI,N155
BIO SCI,D113
BIO SCI,M124B
BIO SCI,N117
BIO SCI,M122
BIO SCI,E179
BIO SCI,194S
BIO SCI,100
